bedrooms,bathrms,stories,lotsize,price
3,1,2,5850,42000
2,1,1,4000,38500
3,1,1,3060,49500
3,1,2,6650,60500
2,1,1,6360,61000
3,1,1,4160,66000
3,2,2,3880,66000
3,1,3,4160,69000
3,1,1,4800,83800
3,2,4,5500,88500
3,2,1,7200,90000
2,1,1,3000,30500
3,1,2,1700,27000
3,1,1,2880,36000
2,1,1,3600,37000
2,1,1,3185,37900
3,1,2,3300,40500
4,1,3,5200,40750
1,1,1,3450,45000
2,2,1,3986,45000
3,1,2,4785,48500
4,2,2,4510,65900
3,1,2,4000,37900
2,1,1,3934,38000
2,1,1,4960,42000
2,1,2,3000,42300
2,1,1,3800,43500
2,1,1,4960,44000
3,1,1,3000,44500
3,1,2,4500,44900
2,1,1,3500,45000
4,1,2,3500,48000
2,1,1,4000,49000
2,1,1,4500,51500
2,1,2,6360,61000
2,1,1,4500,61000
2,1,1,4032,61700
3,1,4,5170,67000
4,2,2,5400,82000
2,2,1,3150,54500
3,1,2,3745,66500
3,1,2,4520,70000
4,1,2,4640,82000
5,3,2,8580,92000
2,1,2,2000,38000
3,1,2,2160,44000
2,1,1,3040,41000
3,1,2,3090,43000
4,1,3,4960,48000
3,1,2,3350,54800
5,2,2,5300,55000
4,1,1,4100,57000
2,1,1,9166,68000
3,1,2,4040,95000
3,3,2,3630,38000
2,1,1,3620,25000
3,1,1,2400,25245
3,2,1,7260,56000
3,1,2,4400,35500
3,1,2,2400,30000
2,1,2,4120,48000
2,1,1,4750,48000
2,1,1,4280,52000
3,1,2,4820,54000
4,1,2,5500,56000
3,1,2,5500,60000
3,1,2,5040,60000
2,1,1,6000,67000
2,1,1,2500,47000
3,1,2,4095,70000
2,1,1,4095,45000
3,1,2,3150,51000
2,1,1,1836,32500
3,1,2,2475,34000
3,1,2,3210,35000
3,1,1,3180,36000
3,1,2,1650,45000
4,1,2,3180,47000
2,2,1,3180,55000
2,1,1,6360,63900
3,1,2,4240,50000
2,1,1,3240,35000
3,1,2,3650,50000
3,1,2,3240,43000
2,1,2,3780,55500
3,1,2,6480,57000
2,1,1,5850,60000
3,2,1,3150,78000
2,1,1,3000,35000
2,1,1,3090,44000
3,1,1,6060,47000
4,2,2,5900,58000
4,1,2,7420,163000
3,2,4,8500,128000
3,1,1,8050,123500
2,1,1,6800,39000
3,1,1,8250,53900
3,1,1,8250,59900
2,1,1,3500,35000
2,1,1,2835,43000
3,2,2,4500,57000
3,3,2,3300,79000
3,1,2,4320,125000
4,2,2,3500,132000
3,2,2,4992,58000
2,1,1,4600,43000
2,1,1,3720,48000
3,2,2,3680,58500
3,2,2,3000,73000
2,1,1,3750,63500
3,1,1,5076,43000
2,1,1,4500,46500
3,1,2,5000,92000
4,1,2,4260,75000
4,2,2,6540,75000
4,1,2,3700,85000
3,1,2,3760,93000
3,2,2,4000,94500
3,2,2,4300,106500
5,1,2,6840,116000
2,1,1,4400,61500
4,2,2,10500,80000
2,1,1,4400,37000
3,1,2,4840,59500
2,1,1,4120,70000
4,2,2,4260,95000
3,3,2,5960,117000
3,2,2,8800,122500
3,2,2,4560,123500
3,2,2,4600,127000
2,1,2,4840,35000
3,1,2,3850,44500
3,1,2,4900,49900
3,1,1,3850,50500
3,1,1,3760,65000
4,2,4,6000,90000
3,1,2,4370,46000
2,1,1,7700,35000
2,1,1,2990,26500
3,1,2,3750,43000
3,1,2,3000,56000
3,1,2,2650,40000
4,2,2,4500,51000
2,1,1,4500,51000
3,1,2,4500,57250
2,1,2,4500,44000
3,1,2,2175,61000
3,2,3,4500,62000
5,2,3,4800,80000
4,1,2,4600,50000
3,1,2,3450,59900
3,1,2,3000,35500
2,2,2,3600,37000
3,1,2,3600,42000
3,1,1,3750,48000
4,3,2,2610,60000
3,1,2,2953,60000
4,2,2,2747,60000
5,1,2,1905,62000
3,1,2,3968,63000
3,1,2,3162,63900
4,1,2,6000,130000
3,1,1,2910,25000
3,2,2,2135,50000
3,1,2,3120,52900
3,1,1,4075,62000
3,1,2,3410,73500
3,1,1,2800,38000
2,1,1,2684,46000
3,1,2,3100,48000
2,1,1,3630,52500
3,1,1,1950,32000
3,1,1,2430,38000
3,1,1,4320,46000
3,1,2,3036,50000
3,2,2,3630,57500
4,1,2,5400,70000
4,2,2,3420,69900
3,2,2,3180,74500
4,1,2,3660,42000
2,1,1,4410,60000
3,1,2,3990,50000
3,1,1,4340,58000
3,1,2,3510,63900
5,1,2,3420,28000
2,1,2,3420,54000
3,1,1,5495,44700
4,1,2,3480,47000
3,1,1,7424,50000
4,1,2,3460,57250
3,1,2,3630,67000
2,1,1,3630,52500
3,1,2,3480,42000
3,2,1,3460,57500
2,1,1,3180,33000
2,1,1,3635,34400
3,1,1,3960,40000
3,1,2,4350,40500
2,1,1,3930,46500
3,1,2,3570,52000
3,1,1,3600,53000
5,2,1,2520,53900
3,1,1,3480,50000
4,2,2,3180,55500
2,1,1,3290,56000
4,2,2,4000,60000
3,1,2,2325,60000
2,1,1,4350,69500
2,1,1,3540,72000
3,1,1,3960,92500
2,1,1,2640,40500
2,1,1,2700,42000
3,1,1,2700,47900
3,1,2,3180,52000
4,1,2,3500,62000
2,1,1,3630,41000
4,3,2,6000,138300
3,1,2,3150,42000
4,1,2,3792,47000
3,1,3,3510,64500
3,1,2,3120,46000
4,1,3,3000,58000
3,1,2,4200,70100
4,2,2,2817,78500
4,1,3,3240,87250
3,2,2,2800,70800
2,1,1,3816,56000
2,1,1,3185,48000
3,1,2,6321,68000
3,2,2,3650,79000
4,1,2,4700,80000
4,2,2,6615,87000
3,1,2,3850,25000
1,1,1,3970,32500
2,1,2,3000,36000
4,1,2,4352,42500
4,1,2,3630,43000
6,1,2,3600,50000
2,1,1,3000,26000
4,1,2,3000,30000
4,2,2,2787,34000
2,1,2,3000,52000
3,1,1,4770,70000
2,1,1,3649,27000
3,1,2,3970,32500
2,1,1,2910,37200
2,1,1,3480,38000
3,1,2,6615,42000
2,1,1,3500,44500
3,1,2,3450,45000
3,1,1,3450,48500
2,2,1,3520,52000
4,1,2,6930,53900
3,2,2,4600,60000
4,1,2,4360,61000
3,1,2,3450,64500
4,3,2,4410,71000
2,2,1,4600,75500
2,1,1,3640,33500
2,1,1,6000,41000
4,1,2,5400,41000
